Bill Gates,USA,Microsoft,founder,male
Carlos Slim Helu,MEX,Telmex,founder,male
Amancio Ortega,ESP,Zara,founder,male
Warren Buffett,USA,Berkshire Hathaway,founder,male
Larry Ellison,USA,Oracle,founder,male
Charles Koch,USA,Koch industries,relation,male
David Koch,USA,Koch industries,relation,male
Sheldon Adelson,USA,Las Vegas Sands,founder,male
Christy Walton,USA,Walmart,relation,female
Jim Walton,USA,Walmart,relation,male
Liliane Bettencourt,FRA,L'Oreal,relation,female
Stefan Persson,SWE, H&M,relation,male
Alice Walton,USA,Walmart,relation,female
S. Robson Walton,USA,Walmart,relation,male
Bernard Arnault,FRA,LVMH,founder,male
Michael Bloomberg,USA,Bloomberg,founder,male
Larry Page,USA,Google,founder,male
Jeff Bezos,USA,Amazon,founder,male
Sergey Brin,USA,Google,founder,male
Li Ka-shing,HKG,Cheung Kong,founder,male
Mark Zuckerberg,USA, Facebook,founder,male
Michele Ferrero,ITA,Ferrero spa,relation,male
Aliko Dangote,NGA,Dangote Group,founder and CEO,male
Karl Albrecht,DEU,Aldi Sud,relation,male
Carl Icahn,USA,Icahn Enterprises,founder,male
George Soros,USA,Soros Fund Management,founder,male
David Thomson,CAN,Thomson Corporation (now Thomson Reuters),relation,male
Lui Che Woo,HKG,K. Wah Group,founder/chairman,male
Dieter Schwarz,DEU,Schwarz Group,relation,male
Prince Alwaleed Bin Talal Alsaud,SAU,Kingdom Holding Company,founder,male
"Forrest Mars, Jr.",USA,"Mars, Incorperated",relation,male
Jacqueline Mars,USA,"Mars, Incorperated",relation,female
John Mars,USA,"Mars, Incorperated",relation,male
Jorge Paulo Lemann,BRA,Ambev,founder,male
Lee Shau Kee,HKG,Henderson Land Development,founder/chairman,male
Steve Ballmer,USA,Microsoft,CEO,male
"Theo Albrecht, Jr.",DEU,Aldi Nord,Relation,male
Leonardo Del Vecchio,ITA,?Luxottica,founder,male
Len Blavatnik,USA,Renova Group,founder,male
Alisher Usmanov,RUS,Metalloinvest,founder,male
Mukesh Ambani,IND,Reliance,relation,male
Masayoshi Son,JPN,Softbank,founder/CEO,male
Michael Otto,DEU,Otto Group,relation,male
Phil Knight,USA,Nike,founder,male
Tadashi Yanai,JPN,Fast Retailing/Uniqlo,founder,male
Gina Rinehart,AUS,Hancock Prospecting,relation,female
Mikhail Fridman,RUS,Alfa Group,founder,male
Michael Dell,USA,Dell,founder,male
Susanne Klatten,DEU,BMW,relation,female
Abigail Johnson,USA,Fidelity Investments,relation,female
Viktor Vekselberg,RUS,Renova Group,founder,male
Lakshmi Mittal,IND,ArcelorMittal,founder,male
Vladimir Lisin,RUS,NLMK,owner,male
Cheng Yu-tung,HKG,Chow Tai Fook Enterprises,relation,male
Joseph Safra,BRA,Banco Safra (now Saftra Group),founder,male
Paul Allen,USA,Microsoft,founder,male
